Sensor E
664,61.7,3/11/2021
665,94.9,7/5/2021
666,83.1,2/13/2021
667,11.6,2/21/2021
668,66.2,1/26/2021
669,48.4,8/10/2021
670,37.4,9/15/2020
671,14.2,6/11/2021
672,55.6,2/18/2021
673,36.9,9/11/2020
674,63.4,7/15/2021
675,55.9,9/10/2020
676,74.8,11/10/2020
677,67.1,4/13/2021
678,30.5,7/25/2021
679,64.1,8/14/2021
680,44.7,9/4/2021
681,48.8,11/4/2020
682,17.9,1/4/2021
683,27.6,5/23/2021
684,67.2,5/22/2021
685,53.3,11/25/2020
686,96.2,1/20/2021
687,82.3,4/5/2021
688,9.2,11/23/2020
689,98.2,7/4/2021
690,31.8,10/11/2020
691,10.2,9/25/2020
692,26.4,3/19/2021
693,62.7,11/28/2020
694,8.0,11/7/2020
695,50.3,3/3/2021
696,47.6,9/2/2021
697,72.6,4/7/2021
698,84.9,3/1/2021
699,4.9,12/19/2020
700,34.5,9/15/2020
701,68.9,11/13/2020
702,91.0,8/12/2021
703,91.3,5/19/2021
704,24.7,6/3/2021
705,58.7,6/18/2021
706,14.7,9/26/2020
707,77.9,12/15/2020
708,67.1,10/7/2020
709,38.1,9/29/2020
710,49.8,12/28/2020
711,29.4,9/3/2021
712,79.2,5/4/2021
713,9.6,9/21/2020
