Sensor A
715,40.0,11/18/2020
716,75.8,12/15/2020
717,40.6,6/10/2021
718,25.7,7/17/2021
719,3.5,10/28/2020
720,86.6,10/28/2020
721,17.0,10/31/2020
722,87.2,4/7/2021
723,43.2,6/2/2021
724,68.9,3/28/2021
725,53.6,12/1/2020
726,91.9,7/16/2021
727,48.4,8/16/2021
728,36.6,4/2/2021
729,9.5,12/5/2020
730,20.2,7/16/2021
731,7.5,10/29/2020
732,80.6,10/15/2020
733,24.3,2/25/2021
734,98.4,1/26/2021
735,93.6,3/1/2021
736,96.1,9/7/2021
737,21.9,9/17/2020
738,85.8,12/21/2020
739,55.5,1/23/2021
740,42.5,9/29/2020
741,70.9,9/24/2020
742,71.2,7/28/2021
743,79.6,9/11/2020
744,90.1,11/2/2020
745,37.1,6/17/2021
746,12.3,5/7/2021
747,72.3,11/19/2020
748,47.1,11/9/2020
749,12.2,7/6/2021
750,81.3,9/18/2020
751,40.1,2/2/2021
752,10.6,10/23/2020
753,80.5,7/8/2021
754,4.1,3/7/2021
755,88.3,2/10/2021
756,15.2,1/14/2021
757,72.1,2/20/2021
758,68.9,2/27/2021
759,71.6,9/18/2020
760,70.8,3/30/2021
761,96.3,9/10/2020
762,7.6,10/1/2020
763,62.8,12/24/2020
764,29.0,10/21/2020
