Sensor A
52,63.4,4/2/2021
53,8.8,7/25/2021
54,4.6,5/24/2021
55,96.4,3/1/2021
56,76.4,3/9/2021
57,22.1,12/19/2020
58,7.2,1/9/2021
59,28.2,8/8/2021
60,37.6,5/4/2021
61,50.4,4/4/2021
62,85.2,3/28/2021
63,42.2,8/12/2021
64,47.6,7/19/2021
65,16.5,8/15/2021
66,54.0,9/5/2021
67,96.4,12/9/2020
68,99.0,1/11/2021
69,48.6,12/21/2020
70,98.8,3/25/2021
71,29.5,12/8/2020
72,31.3,11/7/2020
73,32.5,12/5/2020
74,22.3,1/7/2021
75,3.0,4/16/2021
76,88.3,11/19/2020
77,62.2,6/12/2021
78,9.0,7/6/2021
79,16.1,11/25/2020
80,39.0,8/27/2021
81,71.4,8/3/2021
82,69.1,5/15/2021
83,85.5,8/26/2021
84,20.1,4/14/2021
85,72.0,4/21/2021
86,54.1,9/20/2020
87,19.4,10/31/2020
88,36.5,9/10/2020
89,91.3,6/7/2021
90,20.7,7/6/2021
91,51.6,3/30/2021
92,76.3,1/31/2021
93,60.3,5/23/2021
94,47.7,5/11/2021
95,3.4,3/23/2021
96,50.1,2/18/2021
97,28.5,9/21/2020
98,60.7,12/16/2020
99,30.2,6/7/2021
100,11.5,4/1/2021
101,5.7,2/1/2021
