Sensor C
307,63.4,4/20/2021
308,66.0,4/26/2021
309,70.6,12/16/2020
310,73.0,2/27/2021
311,31.5,5/19/2021
312,1.6,7/15/2021
313,28.8,3/4/2021
314,50.1,8/30/2021
315,30.8,12/25/2020
316,48.5,2/23/2021
317,50.0,3/17/2021
318,32.5,8/5/2021
319,76.7,12/9/2020
320,43.5,4/2/2021
321,92.5,1/6/2021
322,69.6,11/8/2020
323,31.0,7/5/2021
324,85.7,7/17/2021
325,89.8,2/4/2021
326,19.9,12/16/2020
327,58.8,3/1/2021
328,52.1,11/16/2020
329,3.8,6/19/2021
330,9.0,3/29/2021
331,93.8,7/25/2021
332,25.3,2/4/2021
333,44.7,9/1/2021
334,8.6,11/8/2020
335,95.1,1/6/2021
336,12.3,8/2/2021
337,50.6,7/22/2021
338,37.9,8/6/2021
339,99.4,7/26/2021
340,67.6,2/16/2021
341,82.1,4/3/2021
342,73.7,9/26/2020
343,44.3,11/8/2020
344,79.7,2/17/2021
345,22.0,4/10/2021
346,84.9,10/29/2020
347,75.9,4/8/2021
348,91.4,4/7/2021
349,33.0,4/2/2021
350,48.5,10/23/2020
351,34.9,10/30/2020
352,95.1,7/11/2021
353,48.4,1/25/2021
354,53.1,8/1/2021
355,45.2,10/18/2020
356,67.2,5/12/2021
