Sensor A
970,32.3,1/7/2021
971,62.6,1/31/2021
972,25.6,6/28/2021
973,24.8,8/30/2021
974,54.1,3/1/2021
975,39.4,6/27/2021
976,40.6,8/11/2021
977,96.4,8/23/2021
978,54.2,11/14/2020
979,1.8,7/22/2021
980,24.6,2/24/2021
981,94.5,9/30/2020
982,55.3,7/18/2021
983,18.7,5/27/2021
984,38.7,1/15/2021
985,74.6,10/25/2020
986,79.2,9/18/2020
987,76.8,3/31/2021
988,61.7,8/29/2021
989,80.2,9/19/2020
990,93.8,8/25/2021
991,80.5,5/1/2021
992,62.7,2/20/2021
993,36.7,6/17/2021
994,34.5,6/20/2021
995,67.6,3/4/2021
996,88.3,5/22/2021
997,45.3,10/2/2020
998,91.9,4/11/2021
999,22.9,10/30/2020
1000,16.6,9/6/2021
