Sensor D
358,9.9,1/20/2021
359,99.7,8/19/2021
360,82.8,5/11/2021
361,88.7,12/14/2020
362,82.7,12/29/2020
363,34.2,6/3/2021
364,52.7,11/12/2020
365,87.5,9/27/2020
366,81.2,3/18/2021
367,64.8,7/16/2021
368,39.4,5/26/2021
369,92.1,12/26/2020
370,14.0,5/27/2021
371,61.3,5/17/2021
372,62.5,11/11/2020
373,82.0,12/14/2020
374,1.8,7/8/2021
375,71.0,2/2/2021
376,95.7,7/10/2021
377,3.1,9/11/2020
378,32.4,9/21/2020
379,45.9,4/25/2021
380,6.6,10/21/2020
381,78.9,12/16/2020
382,82.0,3/21/2021
383,5.5,12/6/2020
384,43.8,2/11/2021
385,23.2,1/20/2021
386,53.7,11/22/2020
387,89.9,11/5/2020
388,61.4,1/31/2021
389,28.3,2/16/2021
390,35.4,10/1/2020
391,20.9,10/4/2020
392,96.4,2/21/2021
393,37.8,6/14/2021
394,91.0,6/2/2021
395,9.5,12/29/2020
396,50.2,11/2/2020
397,58.3,7/7/2021
398,65.9,7/28/2021
399,22.2,1/15/2021
400,28.1,6/15/2021
401,82.1,2/14/2021
402,58.8,4/22/2021
403,72.2,6/1/2021
404,5.6,2/14/2021
405,79.8,1/20/2021
406,20.3,1/5/2021
407,5.3,8/9/2021
