Sensor A
460,37.1,1/3/2021
461,50.6,7/16/2021
462,24.5,8/11/2021
463,53.8,10/8/2020
464,12.6,6/21/2021
465,57.4,12/19/2020
466,93.5,4/12/2021
467,55.5,2/28/2021
468,52.0,5/31/2021
469,29.0,7/10/2021
470,87.6,8/12/2021
471,83.5,11/25/2020
472,34.4,8/20/2021
473,27.7,9/18/2020
474,24.1,9/15/2020
475,47.1,4/3/2021
476,31.5,1/28/2021
477,96.1,8/16/2021
478,22.8,10/16/2020
479,81.4,10/15/2020
480,60.9,12/7/2020
481,80.8,8/29/2021
482,1.6,11/4/2020
483,87.8,6/5/2021
484,21.0,5/25/2021
485,19.3,4/21/2021
486,74.8,8/14/2021
487,63.4,6/21/2021
488,98.7,4/13/2021
489,93.4,7/10/2021
490,63.2,8/26/2021
491,6.1,3/27/2021
492,65.8,9/15/2020
493,36.0,2/7/2021
494,92.1,9/30/2020
495,80.0,4/27/2021
496,7.3,4/12/2021
497,17.7,10/24/2020
498,90.5,9/8/2020
499,14.9,7/24/2021
500,28.2,10/3/2020
501,50.5,11/25/2020
502,32.9,9/19/2020
503,48.3,6/26/2021
504,38.2,11/6/2020
505,8.6,11/30/2020
506,74.1,5/6/2021
507,88.0,8/20/2021
508,83.6,10/11/2020
509,81.6,9/5/2021
