Sensor D
103,92.1,8/27/2021
104,43.9,6/6/2021
105,13.7,7/18/2021
106,82.8,10/22/2020
107,36.3,3/4/2021
108,64.8,7/11/2021
109,23.5,1/24/2021
110,5.0,6/11/2021
111,3.2,6/15/2021
112,68.1,8/27/2021
113,43.8,1/6/2021
114,21.5,6/20/2021
115,75.1,11/10/2020
116,20.5,12/24/2020
117,23.9,3/1/2021
118,9.1,11/6/2020
119,87.5,6/23/2021
120,6.0,9/20/2020
121,53.9,2/21/2021
122,86.0,6/1/2021
123,79.3,3/3/2021
124,43.5,5/24/2021
125,90.9,11/14/2020
126,40.1,5/27/2021
127,42.1,2/24/2021
128,18.1,8/20/2021
129,82.6,3/19/2021
130,14.2,8/22/2021
131,60.2,6/30/2021
132,45.3,5/24/2021
133,6.2,4/25/2021
134,66.3,5/31/2021
135,49.0,2/17/2021
136,56.3,10/5/2020
137,14.0,8/5/2021
138,57.0,9/23/2020
139,90.0,3/25/2021
140,67.3,3/8/2021
141,8.7,9/27/2020
142,63.8,12/5/2020
143,28.8,11/14/2020
144,45.4,5/18/2021
145,66.5,10/31/2020
146,30.4,7/27/2021
147,27.3,3/20/2021
148,16.2,12/18/2020
149,6.0,4/12/2021
150,40.7,8/7/2021
151,86.7,7/11/2021
152,61.7,5/27/2021
